2026-03-19 10:15:08.067 | INFO     | __main__:executar_varredura:115 - 🏪 Varrendo Amazon...
2026-03-19 10:15:15.608 | INFO     | src.scraper_amazon:_scrape_lista:64 - 🛒 Amazon: 24 cards encontrados em https://www.amazon.com.br/bestsellers
2026-03-19 10:15:23.194 | INFO     | src.scraper_amazon:_scrape_lista:64 - 🛒 Amazon: 0 cards encontrados em https://www.amazon.com.br/deals
2026-03-19 10:15:23.195 | INFO     | src.scraper_amazon:scrape_amazon:199 - 🔍 Amazon: Verificando estoque de 0 produtos...
2026-03-19 10:15:23.199 | SUCCESS  | src.scraper_amazon:scrape_amazon:237 - ✅ Amazon: 0 produtos válidos coletados. (0 erros)
2026-03-19 10:15:23.199 | INFO     | __main__:executar_varredura:125 - 🏪 Varrendo Shopee...
2026-03-19 10:15:39.406 | INFO     | src.scraper_shopee:_scrape_lista:56 - 🛒 Shopee: 0 cards encontrados em https://shopee.com.br/flash_sale
2026-03-19 10:15:54.656 | INFO     | src.scraper_shopee:_scrape_lista:56 - 🛒 Shopee: 0 cards encontrados em https://shopee.com.br/search?keyword=mais+vendidos&sortBy=sales
2026-03-19 10:15:54.657 | INFO     | src.scraper_shopee:scrape_shopee:182 - 🔍 Shopee: Verificando estoque de 0 produtos...
2026-03-19 10:15:54.664 | SUCCESS  | src.scraper_shopee:scrape_shopee:213 - ✅ Shopee: 0 produtos válidos coletados. (0 erros)
2026-03-19 10:15:54.736 | INFO     | __main__:executar_varredura:149 - =======================================================
2026-03-19 10:15:54.736 | INFO     | __main__:executar_varredura:150 - 📊 RELATÓRIO DA VARREDURA
2026-03-19 10:15:54.736 | INFO     | __main__:executar_varredura:151 -    🕐 Duração:         1min 19s
2026-03-19 10:15:54.736 | INFO     | __main__:executar_varredura:152 -    🔍 Total encontrado: 0 produtos
2026-03-19 10:15:54.736 | INFO     | __main__:executar_varredura:153 -    💾 Salvos no banco:  0 registros
2026-03-19 10:15:54.737 | INFO     | __main__:executar_varredura:154 -    ❌ Erros:           0
2026-03-19 10:15:54.737 | INFO     | __main__:executar_varredura:158 - =======================================================
2026-03-19 10:25:48.010 | INFO     | __main__:<module>:238 - ▶ Modo: Varredura imediata
2026-03-19 10:25:48.011 | INFO     | __main__:executar_varredura:68 - =======================================================
2026-03-19 10:25:48.012 | INFO     | __main__:executar_varredura:69 - 🚀 Iniciando varredura em 19/03/2026 10:25:48
2026-03-19 10:25:48.012 | INFO     | __main__:executar_varredura:70 - =======================================================
2026-03-19 10:25:48.835 | INFO     | src.database:log_execucao_start:142 - 📋 Execução registrada com ID: 1
2026-03-19 10:25:49.203 | INFO     | __main__:executar_varredura:105 - 🏪 Varrendo Mercado Livre...
2026-03-19 10:26:04.021 | INFO     | src.scraper_ml:_scrape_lista:69 - 🛒 ML: 72 cards encontrados em https://www.mercadolivre.com.br/ofertas
2026-03-19 10:26:10.727 | INFO     | src.scraper_ml:_scrape_lista:69 - 🛒 ML: 46 cards encontrados em https://www.mercadolivre.com.br/mais-vendidos
2026-03-19 10:26:11.201 | INFO     | src.scraper_ml:scrape_mercadolivre:191 - 🔍 ML: Verificando estoque de 12 produtos...
2026-03-19 10:26:13.918 | DEBUG    | src.scraper_ml:scrape_mercadolivre:217 - ✓ ML: Parafusadeira Furadeira The Black Tools Tb12a 3/8  — R$167.70
2026-03-19 10:26:17.229 | DEBUG    | src.scraper_ml:scrape_mercadolivre:217 - ✓ ML: Kit 6 Pares Meias Lupo Cano Médio Esportivas Acade — R$103.10
2026-03-19 10:26:20.086 | DEBUG    | src.scraper_ml:scrape_mercadolivre:217 - ✓ ML: Kit 10 Pote De Vidro Marmita Hermético 370ml Freez — R$95.00
2026-03-19 10:26:23.119 | DEBUG    | src.scraper_ml:scrape_mercadolivre:217 - ✓ ML: Cadeira Gamer Wells Preta Healer Preto Couro Sinté — R$755.45
2026-03-19 10:26:26.118 | DEBUG    | src.scraper_ml:scrape_mercadolivre:217 - ✓ ML: Batedeira Planetária Philco Pbp90a 5l 12 Velocidad — R$379.90
2026-03-19 10:26:29.099 | DEBUG    | src.scraper_ml:scrape_mercadolivre:217 - ✓ ML: Protetor Solar Com Cor, Alta Cobertura 12h, Oil-fr — R$109.90
2026-03-19 10:26:31.885 | DEBUG    | src.scraper_ml:scrape_mercadolivre:200 - ML: Produto sem estoque ignorado: Parafusadeira Furadeira De Impacto Sem F
2026-03-19 10:26:34.718 | DEBUG    | src.scraper_ml:scrape_mercadolivre:200 - ML: Produto sem estoque ignorado: 6 Pares Meias Puma Cano Médio Alto Atoal
2026-03-19 10:26:37.391 | DEBUG    | src.scraper_ml:scrape_mercadolivre:200 - ML: Produto sem estoque ignorado: Kit 10 Potes Vidro 370ml Hermético Marmi
2026-03-19 10:26:40.412 | DEBUG    | src.scraper_ml:scrape_mercadolivre:217 - ✓ ML: Perfume Masculino Eau De Parfum Azzaro The Most Wa — R$879.00
2026-03-19 10:26:43.678 | DEBUG    | src.scraper_ml:scrape_mercadolivre:217 - ✓ ML: Kit 4 Cuecas Boxer Puma Poliamida Sem Costura Box  — R$213.99
